AccessionNum	Gene	Allele
LA1097	I	--
LA1097	l	--
LA1097	sp	--
LA1097	u	--
LA1100	ah	--
LA1100	marm	--
LA1100	pla	--
LA1101	cn	--
LA1101	sf	--
LA1101	sy	--
LA1102	a	--
LA1102	hl	--
LA1102	tab	--
LA1103	not	--
LA1103	var	--
LA1104	deb	--
LA1104	not	--
LA1105	con	--
LA1105	cur	--
LA1106	ah	--
LA1106	fsc	--
LA1107	co	--
LA1107	inv	--
LA1108	dgt	--
LA1108	inv	--
LA1109	hl	--
LA1109	j	--
LA1109	mnt	--
LA1110	ag	--
LA1110	icn	--
LA1111	alb	--
LA1111	fd	--
LA1112	lut	--
LA1112	marm	--
LA1113	a	--
LA1113	f	--
LA1113	hl	--
LA1113	j	--
LA1113	ms-31	--
LA1114	c	--
LA1114	m-2	--
LA1114	ms-33	--
LA1114	yv	--
LA1142	hy	--
LA1143	fgv	--
LA1150	wv-2	--
LA1151	Cvx	--
LA1156	lg	--
LA1157	bs	--
LA1158	ep	--
LA1159	ep	--
LA1159	obl	--
LA1161	ms-49	--
LA1163	d	--
LA1163	tf	--
LA1163	wv	--
LA1164	ah	--
LA1164	marm	--
LA1164	not	--
LA1164	var	--
LA1165	a	--
LA1165	c	--
LA1165	hl	--
LA1165	m	--
LA1165	yv	--
LA1166	ag	--
LA1166	clau	--
LA1166	icn	--
LA1166	su	3
LA1167	dpy	--
LA1167	m	--
LA1168	d	--
LA1168	dpy	--
LA1168	m	--
LA1169	dgt	--
LA1169	scf	--
LA1170	cn	--
LA1170	con	--
LA1171	fd	--
LA1171	yg-2	aud
LA1172	La	--
LA1172	lg-5	--
LA1173	co	--
LA1173	gas	--
LA1175	aut	--
LA1175	bls	--
LA1176	ah	--
LA1176	Crk	--
LA1176	marm	--
LA1177	alb	--
LA1177	mua	--
LA1178	c	--
LA1178	coa	--
LA1178	yv	--
LA1179	al	--
LA1179	bu	--
LA1179	dl	--
LA1179	l	--
LA1179	ms-31	--
LA1180	bls	--
LA1180	ms-31	--
LA1180	sf	--
LA1180	sy	--
LA1181	alb	--
LA1181	sf	--
LA1181	sy	--
LA1182	alb	--
LA1182	mua	--
LA1182	sf	--
LA1182	sy	--
LA1183	ag	--
LA1183	clau	--
LA1183	icn	--
LA1183	ra	--
LA1184	au	tl
LA1184	dgt	--
LA1184	scf	--
LA1185	au	tl
LA1185	inv	--
LA1185	scf	--
LA1186	au	tl
LA1186	dgt	--
LA1186	inv	--
LA1186	scf	--
LA1187	e	--
LA1187	GE	P
